"","player","shotCount","totalGoalsScored","xG","avgShotDist","openPlay","setPiece","penalty","fromCorner","directFK","rightFoot","leftFoot","head"
"63","Marco Richter",2.83333333333333,4,0.228539038708226,23.6537585367577,2.33333333333333,0.111111111111111,0,0.166666666666667,0.222222222222222,1.61111111111111,1.16666666666667,0.0555555555555556
"64","Marcus Ingvartsen",2.29411764705882,4,0.206097670995137,17.7807939666565,2.05882352941176,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0.294117647058824,1.47058823529412,0.470588235294118
"65","Mark Uth",2.76923076923077,4,0.325957625316313,15.5414029287216,1.92307692307692,0.0769230769230769,0,0.461538461538462,0.307692307692308,0.461538461538462,1.53846153846154,0.769230769230769
"66","Moussa Diaby",2,4,0.272806450325464,18.5657698562227,1.92857142857143,0,0,0.0714285714285714,0,0.285714285714286,1.71428571428571,0
"67","Ramy Bensebaini",2.16666666666667,4,0.454185135662556,12.9944499108349,1.16666666666667,0.666666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,1.16666666666667,0.833333333333333
"68","Renato Steffen",2.11111111111111,4,0.335935192700062,17.4669912414107,1.77777777777778,0.111111111111111,0,0.222222222222222,0,0.333333333333333,1.44444444444444,0.333333333333333
"69","Ruben Vargas",2.1,4,0.275564874801785,17.3889500847311,1.9,0,0,0.2,0,1.5,0.25,0.35
"70","Timothy Chandler",2.14285714285714,4,0.158039380397115,16.436552098009,1.71428571428571,0.142857142857143,0,0.285714285714286,0,0.714285714285714,0.285714285714286,1.14285714285714
"71","Yuya Osako",2.41666666666667,4,0.2770414063707,16.221527690176,1.75,0.416666666666667,0,0.25,0,1.33333333333333,0.583333333333333,0.5
"72","Abdelhamid Sabiri",2.53846153846154,3,0.187616704103465,21.3971582287452,1.30769230769231,0.230769230769231,0.0769230769230769,0.307692307692308,0.615384615384615,1.76923076923077,0.230769230769231,0.538461538461538
"73","Achraf Hakimi",1.52941176470588,3,0.21114428182516,15.9174535090498,1.41176470588235,0,0,0.0588235294117647,0.0588235294117647,1.29411764705882,0.176470588235294,0.0588235294117647
"74","Ahmed Kutucu",1.83333333333333,3,0.1865022109511,20.0521280865396,1.66666666666667,0,0,0.166666666666667,0,1.16666666666667,0.5,0.166666666666667
"75","Alfred Finnbogason",1.5,3,0.492192449669043,13.0562824076277,0.833333333333333,0.166666666666667,0.0833333333333333,0.416666666666667,0,0.916666666666667,0.25,0.333333333333333
"76","Ben Zolinski",1.55555555555556,3,0.280100929033425,14.9836348859882,1.11111111111111,0.111111111111111,0,0.333333333333333,0,0.888888888888889,0.444444444444444,0.222222222222222
"77","Benjamin Pavard",1.1,3,0.0562313325703144,16.1111226205424,0.5,0.2,0,0.4,0,0.6,0.2,0.3
"78","Dedryck Boyata",1.66666666666667,3,0.183797976209058,8.78507853375706,0,0.111111111111111,0,1.55555555555556,0,0.222222222222222,0,1.44444444444444
"79","Florian Neuhaus",2,3,0.232483465806581,19.770887848176,1.4375,0.125,0,0.375,0.0625,1.1875,0.75,0.0625
"80","Ihlas Bebou",1.84615384615385,3,0.181351206551951,17.4587253948398,1.76923076923077,0.0769230769230769,0,0,0,1.38461538461538,0.153846153846154,0.307692307692308
"81","Javairo Dilrosun",1.7,3,0.157525881752372,20.2879903544556,1.4,0,0,0.1,0.2,0.1,1.6,0
